"subjects","group_assignment","age","declared_partisanship","week","memes_seen","preexperiment_polarization","experiment_polarization","postexperiment_polarization"
1,0,19,-1,1,NA,0.351567193865776,NA,NA
1,0,19,-1,2,NA,0.226798992324621,NA,NA
1,0,19,-1,3,NA,0.237047731876373,NA,NA
1,0,19,-1,4,0.786565844900906,NA,0.272847087495029,NA
1,0,19,-1,5,0.650545127689838,NA,0.264800070319325,NA
1,0,19,-1,6,0.943012671545148,NA,0.0525497891940176,NA
1,0,19,-1,7,0.523852254380472,NA,0.0586691745556891,NA
1,0,19,-1,8,0.74312344158534,NA,0.341875017248094,NA
1,0,19,-1,9,0.917326017050073,NA,0.0147107376717031,NA
1,0,19,-1,10,0.748649646993726,NA,0.177836673799902,NA
1,0,19,-1,11,0.88644898077473,NA,0.0620359562337399,NA
1,0,19,-1,12,0.98900179064367,NA,0.279625646397471,NA
1,0,19,-1,13,0.820954565075226,NA,0.292943154275417,NA
1,0,19,-1,14,0.574365637614392,NA,0.134287605341524,NA
1,0,19,-1,15,0.868809259147383,NA,0.218854048103094,NA
1,0,19,-1,16,NA,NA,NA,0.348383846413344
1,0,19,-1,17,NA,NA,NA,0.0399955470114946
1,0,19,-1,18,NA,NA,NA,0.364214832894504
1,0,19,-1,19,NA,NA,NA,0.00793263204395771
2,0,22,1,1,NA,0.244341420475394,NA,NA
2,0,22,1,2,NA,0.181623487919569,NA,NA
2,0,22,1,3,NA,0.388719112798572,NA,NA
2,0,22,1,4,0.552976220380515,NA,0.356579561252147,NA
2,0,22,1,5,0.80813254439272,NA,0.0484165384434164,NA
2,0,22,1,6,0.695394107257016,NA,0.174787119217217,NA
2,0,22,1,7,0.821047134813853,NA,0.12389796897769,NA
2,0,22,1,8,0.776864229585044,NA,0.0425924220122397,NA
2,0,22,1,9,0.925101656815968,NA,0.293386832438409,NA
2,0,22,1,10,0.558974404237233,NA,0.0718047073110938,NA
2,0,22,1,11,0.561780560412444,NA,0.102526714093983,NA
2,0,22,1,12,0.781881320057437,NA,0.0681664361618459,NA
2,0,22,1,13,0.864778417977504,NA,0.31622294485569,NA
2,0,22,1,14,0.566221616230905,NA,0.31024558050558,NA
2,0,22,1,15,0.955101125990041,NA,0.252305095922202,NA
2,0,22,1,16,NA,NA,NA,0.181371492892504
2,0,22,1,17,NA,NA,NA,0.223181277699769
2,0,22,1,18,NA,NA,NA,0.0961760301142931
2,0,22,1,19,NA,NA,NA,0.195419787243009
3,0,23,1,1,NA,0.101445439457893,NA,NA
3,0,23,1,2,NA,0.214993815869093,NA,NA
3,0,23,1,3,NA,0.361422402597964,NA,NA
3,0,23,1,4,0.747279508621432,NA,0.258289140183479,NA
3,0,23,1,5,0.510234380955808,NA,0.290409041009843,NA
